claim_id,claim_category,priority_assigned,handling_path,resolution_days,final_amount_eur,outcome,adjuster_notes
CLM-2024-20001,auto-property,Medium,standard,16,12200,Approved,Verified with eyewitness statement and CCTV footage. Full approval.
CLM-2024-20002,auto-property,Medium,standard,17,23300,Approved,Straightforward claim. Policyholder cooperative. Fast-tracked to payment.
CLM-2024-20003,commercial-liability,Medium,standard,13,0.0,Denied,Late filing beyond 60-day policy requirement. Claim denied.
CLM-2024-20004,health-emergency,Low,fast-track,8,2250,Approved,Straightforward claim. Policyholder cooperative. Fast-tracked to payment.
CLM-2024-20005,home-fire,Medium,standard,16,14200,Approved,Damage assessment completed by certified surveyor. Claim approved as estimated.
CLM-2024-20006,commercial-property,Medium,standard,17,0.0,Withdrawn,Claim withdrawn: policyholder resolved issue with third party directly.
CLM-2024-20007,health-emergency,Medium,standard,24,1920.94,Partially Approved,Depreciation applied to claimed items. Partial payment issued.
CLM-2024-20008,health-emergency,Medium,standard,8,6170,Approved,Damage assessment completed by certified surveyor. Claim approved as estimated.
CLM-2024-20009,home-water-damage,Medium,standard,24,0.0,Withdrawn,Withdrawn by claimant; indicated they will cover costs personally.
CLM-2024-20010,health-routine,Medium,standard,19,343.9,Partially Approved,Pre-existing damage identified on inspection. Adjusted amount approved.
CLM-2024-20011,home-theft,High,complex-review,21,13000,Approved,All supporting documents received. Repair estimates confirmed. Approved in full.
CLM-2024-20012,health-routine,Low,standard,16,1874.81,Partially Approved,Estimate exceeded policy sublimit for this category. Partial approval.
CLM-2024-20013,commercial-property,Medium,standard,8,17000,Approved,Third-party liability confirmed. Subrogation initiated. Claim paid.
CLM-2024-20014,health-routine,High,complex-review,37,0.0,Denied,Policy exclusion applies: wear and tear damage is not covered.
CLM-2024-20015,auto-property,Medium,standard,18,2295.46,Partially Approved,Treatment approved but elective procedures excluded per policy.
CLM-2024-20016,auto-property,Low,standard,23,7430,Approved,Medical records verified. Treatment costs within policy limits. Approved.
CLM-2024-20017,auto-property,High,complex-review,54,23500,Approved,All supporting documents received. Repair estimates confirmed. Approved in full.
CLM-2024-20018,health-routine,Medium,standard,25,2560,Approved,Police report corroborates claim. No discrepancies found. Approved.
CLM-2024-20019,home-fire,Low,standard,23,44503.35,Partially Approved,Treatment approved but elective procedures excluded per policy.
CLM-2024-20020,auto-property,Medium,standard,25,20000,Approved,Straightforward claim. Policyholder cooperative. Fast-tracked to payment.
CLM-2024-20021,home-fire,High,standard,8,10000,Approved,All supporting documents received. Repair estimates confirmed. Approved in full.
CLM-2024-20022,home-water-damage,Medium,standard,25,0.0,Withdrawn,Withdrawn by claimant; indicated they will cover costs personally.
CLM-2024-20023,home-water-damage,Medium,standard,19,4629.79,Partially Approved,Treatment approved but elective procedures excluded per policy.
CLM-2024-20024,health-routine,Low,standard,25,1190,Approved,Straightforward claim. Policyholder cooperative. Fast-tracked to payment.
CLM-2024-20025,home-fire,Critical,complex-review,55,0.0,Denied,Insufficient documentation provided despite multiple requests. Denied.
CLM-2024-20026,auto-property,Low,fast-track,3,0.0,Denied,Claim denied: incident type not covered under current policy tier.
